source,source_id,cpu,gpu,ram_gb,ram_type,storage_gb,storage_type,condition,brand,system_age_years,asking_price,sold_price,cpu_score,gpu_score,condition_score
synthetic_demo,demo-00000,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4090,32,DDR5,1024,SATA SSD,good,Lenovo,3.3,1651.08,1480.73,96.0,100.0,0.84
synthetic_demo,demo-00001,AMD Ryzen 9 7900X,AMD Radeon RX 6700 XT,32,DDR5,512,NVMe SSD,new,Alienware,4.4,1059.04,1164.05,88.0,57.0,1.0
synthetic_demo,demo-00002,Intel Core i5-12400,AMD Radeon RX 7900 XT,16,DDR4,1024,NVMe SSD,like_new,HP,3.0,1538.69,1481.9,56.0,84.0,0.95
synthetic_demo,demo-00004,Intel Core i7-14700K,Intel Arc A770,16,DDR5,512,SATA SSD,fair,custom,2.9,1193.07,1097.83,93.0,48.0,0.72
synthetic_demo,demo-00005,Intel Core i5-12400,NVIDIA GeForce RTX 3070,64,DDR5,1024,NVMe SSD,good,custom,1.3,1467.88,1554.77,56.0,60.0,0.84
synthetic_demo,demo-00006,AMD Ryzen 5 7600X,NVIDIA GeForce RTX 3070,128,DDR4,2048,NVMe SSD,good,MSI,4.3,1552.58,1519.88,74.0,60.0,0.84
synthetic_demo,demo-00007,Intel Core i7-14700K,NVIDIA GeForce RTX 4060 Ti,32,DDR5,1024,NVMe SSD,good,Lenovo,1.6,1783.06,1740.34,93.0,62.0,0.84
synthetic_demo,demo-00008,AMD Ryzen 7 5800X3D,AMD Radeon RX 6800 XT,32,DDR5,1024,HDD,good,Lenovo,2.1,1416.39,1295.6,78.0,69.0,0.84
synthetic_demo,demo-00009,AMD Ryzen 5 7600X,NVIDIA GeForce RTX 3060,64,DDR4,2048,NVMe SSD,good,HP,3.4,1454.8,1343.2,74.0,48.0,0.84
synthetic_demo,demo-00010,AMD Ryzen 5 5600X,NVIDIA GeForce RTX 4070 Ti SUPER,16,DDR5,4096,NVMe SSD,good,ASUS,6.4,1307.0,1321.83,58.0,84.0,0.84
synthetic_demo,demo-00011,Intel Core i5-14600K,NVIDIA GeForce RTX 4070,16,DDR5,1024,NVMe SSD,good,Lenovo,1.4,1933.84,1677.37,84.0,72.0,0.84
synthetic_demo,demo-00012,Intel Core i7-13700K,NVIDIA GeForce RTX 2080,16,DDR5,4096,SATA SSD,new,custom,2.6,1469.76,1534.92,87.0,44.0,1.0
synthetic_demo,demo-00013,AMD Ryzen 7 7700X,Intel Arc A750,16,DDR5,2048,NVMe SSD,good,HP,3.9,1393.8,1273.67,82.0,43.0,0.84
synthetic_demo,demo-00014,Intel Core i5-12600K,NVIDIA GeForce RTX 3080,64,DDR4,2048,NVMe SSD,like_new,Lenovo,1.7,2003.38,1904.95,68.0,72.0,0.95
synthetic_demo,demo-00015,AMD Ryzen 5 5600X,Intel Arc A750,32,DDR4,1024,NVMe SSD,fair,ASUS,3.2,1096.87,1032.49,58.0,43.0,0.72
synthetic_demo,demo-00016,AMD Ryzen 5 5600X,AMD Radeon RX 7600,64,DDR4,1024,NVMe SSD,excellent,ASUS,4.0,1343.52,1256.9,58.0,50.0,0.9
synthetic_demo,demo-00018,AMD Ryzen 9 7950X3D,Intel Arc A770,32,DDR5,256,NVMe SSD,excellent,Lenovo,2.0,1331.17,1314.76,100.0,48.0,0.9
synthetic_demo,demo-00019,AMD Ryzen 9 7900X,NVIDIA GeForce RTX 4070 Ti SUPER,32,DDR4,2048,SATA SSD,good,Lenovo,5.3,1329.04,1169.08,88.0,84.0,0.84
